weatherid,weatherdate,weatherprovinceid,temperature
4010811,2021-02-01,47,-18.5
4010879,2021-02-01,47,-19.0
4012403,2021-02-01,47,-18.5
4012410,2021-02-01,47,-17.4
4013480,2021-02-01,47,-19.1
5010140,2021-02-01,46,-17.1
5010481,2021-02-01,46,-19.9
5010490,2021-02-01,46,-18.9
5010547,2021-02-01,46,-18.4
5010641,2021-02-01,46,-18.0
6010400,2021-02-01,35,-19.7
6010735,2021-02-01,35,-21.7
6010740,2021-02-01,35,-21.8
6012199,2021-02-01,35,-17.9
6012501,2021-02-01,35,-22.1
7010565,2021-02-01,24,-7.7
7011983,2021-02-01,24,-10.0
7014160,2021-02-01,24,-9.1
7015791,2021-02-01,24,-13.9
7016293,2021-02-01,24,-9.5
8100300,2021-02-01,13,-9.0
8100467,2021-02-01,13,-6.7
8100506,2021-02-01,13,-8.0
8100885,2021-02-01,13,-7.9
8100989,2021-02-01,13,-7.1
8200255,2021-02-01,12,-0.2
8200558,2021-02-01,12,-1.7
8200574,2021-02-01,12,-3.0
8200604,2021-02-01,12,-0.6
8200774,2021-02-01,12,-3.4
8300301,2021-02-01,11,-5.1
8300497,2021-02-01,11,-3.5
8300562,2021-02-01,11,-4.1
8300590,2021-02-01,11,-4.5
8300596,2021-02-01,11,-5.6
8400601,2021-02-01,10,-2.5
8400812,2021-02-01,10,-5.7
8401295,2021-02-01,10,-5.7
8401298,2021-02-01,10,-4.8
8401300,2021-02-01,10,-4.0
1011500,2021-03-01,59,7.2
1012475,2021-03-01,59,7.2
1012710,2021-03-01,59,6.5
1014820,2021-03-01,59,5.3
1015630,2021-03-01,59,6.0
2100155,2021-03-01,60,-16.9
2100181,2021-03-01,60,-14.9
2100184,2021-03-01,60,-15.2
2100301,2021-03-01,60,-11.8
2100407,2021-03-01,60,-14.4
2200105,2021-03-01,61,-23.1
2200675,2021-03-01,61,-25.2
2200827,2021-03-01,61,-23.5
2201022,2021-03-01,61,-21.6
2201023,2021-03-01,61,-21.3
2300501,2021-03-01,62,-26.8
2300503,2021-03-01,62,-26.7
2300504,2021-03-01,62,-26.5
2300551,2021-03-01,62,-24.4
2300710,2021-03-01,62,-25.1
3010010,2021-03-01,48,-2.8
3010060,2021-03-01,48,-1.1
3010162,2021-03-01,48,0.4
3010237,2021-03-01,48,-2.3
3010650,2021-03-01,48,1.3
4010811,2021-03-01,47,-0.7
4010879,2021-03-01,47,-1.1
4012403,2021-03-01,47,0.7
4012410,2021-03-01,47,1.3
4013480,2021-03-01,47,-1.4
5010140,2021-03-01,46,0.6
5010481,2021-03-01,46,-1.3
5010490,2021-03-01,46,-0.8
