vaccinationdate,vaccinationprovinceid,fullyvaccinated,partiallyvaccinated
2021-03-27,1,668068,3865181
2021-03-27,10,9647,41597
2021-03-27,11,6404,8898
2021-03-27,12,24294,40387
2021-03-27,13,12200,68004
2021-03-27,24,24294,1218798
2021-03-27,35,309157,1363194
2021-03-27,46,54940,62870
2021-03-27,47,36308,98283
2021-03-27,48,96131,408276
2021-03-27,59,87439,526532
2021-03-27,60,10760,12268
2021-03-27,61,13931,9790
2021-03-27,62,6857,6284
2021-04-03,1,716131,5072503
2021-04-03,10,9663,69071
2021-04-03,11,7612,12218
2021-04-03,12,29531,54265
2021-04-03,13,12288,98663
2021-04-03,24,29531,1524363
2021-04-03,35,321818,1849755
2021-04-03,46,61511,86315
2021-04-03,47,39174,143277
2021-04-03,48,111986,488608
2021-04-03,59,87607,719978
2021-04-03,60,12136,11278
2021-04-03,61,14469,9633
2021-04-03,62,8336,5079
2021-04-10,1,819038,6520782
2021-04-10,10,9674,90920
2021-04-10,11,8761,17569
2021-04-10,12,31119,85699
2021-04-10,13,15789,120060
2021-04-10,24,15821,1857568
2021-04-10,35,332966,2475356
2021-04-10,46,68515,147407
2021-04-10,47,41509,208062
2021-04-10,48,164357,563935
2021-04-10,59,87819,934567
2021-04-10,60,16776,7096
2021-04-10,61,16469,8276
2021-04-10,62,9463,4267
2021-04-17,1,930202,8265443
2021-04-17,10,9674,113134
2021-04-17,11,9577,23866
2021-04-17,12,32482,141404
2021-04-17,13,18874,163902
2021-04-17,24,30245,2295039
2021-04-17,35,345786,3148080
2021-04-17,46,69767,197933
2021-04-17,47,42933,266565
2021-04-17,48,232326,700554
2021-04-17,59,88238,1201323
2021-04-17,60,20099,4218
2021-04-17,61,19269,6105
2021-04-17,62,10932,3320
2021-04-24,1,1020589,10112616
2021-04-24,10,9696,137727
2021-04-24,11,10289,29320
2021-04-24,12,34815,203751
2021-04-24,13,24228,195181
2021-04-24,24,51745,2721492
2021-04-24,35,360337,3908475
2021-04-24,46,71415,278119
2021-04-24,47,43607,316517
2021-04-24,48,270640,856730
2021-04-24,59,89169,1454116
2021-04-24,60,21527,3290
2021-04-24,61,20941,4915
2021-04-24,62,12180,2983
2021-05-01,1,1123817,11656401
2021-05-01,10,9665,161620
2021-05-01,11,10644,34811
2021-05-01,12,36599,247213
2021-05-01,13,27276,216853
2021-05-01,24,104393,3005106
2021-05-01,35,375308,4576638
2021-05-01,46,73209,339058
2021-05-01,47,44572,362338
2021-05-01,48,293722,1011710
2021-05-01,59,91895,1690009
2021-05-01,60,22334,2858
2021-05-01,61,21672,4660
2021-05-01,62,12528,3527
2021-05-08,1,1253129,13519830
2021-05-08,10,9673,183911
2021-05-08,11,10942,41725
2021-05-08,12,37699,288440
2021-05-08,13,30281,247570
2021-05-08,24,174936,3363718
2021-05-08,35,392994,5361156
2021-05-08,46,75761,397891
2021-05-08,47,46445,435407
2021-05-08,48,309929,1246471
2021-05-08,59,106276,1942276
2021-05-08,60,22817,2914
2021-05-08,61,22499,4809
2021-05-08,62,12877,3542
2021-05-15,1,1518517,15622702
2021-05-15,10,9881,215889
2021-05-15,11,11761,50448
2021-05-15,12,39205,349306
2021-05-15,13,33435,290037
2021-05-15,24,354475,3718783
2021-05-15,35,429868,6208493
2021-05-15,46,80883,479650
2021-05-15,47,48811,505508
2021-05-15,48,320274,1529798
2021-05-15,59,130430,2262971
2021-05-15,60,23236,3006
2021-05-15,61,22956,5402
2021-05-15,62,13302,3411
2021-05-22,1,1754897,17479116
2021-05-22,10,10459,249731
2021-05-22,11,12306,59121
2021-05-22,12,41453,419495
2021-05-22,13,36914,350097
2021-05-22,24,446963,4155246
2021-05-22,35,532103,7005191
2021-05-22,46,86795,556554
2021-05-22,47,58190,546576
2021-05-22,48,320916,1533466
2021-05-22,59,147620,2592156
2021-05-22,60,23727,3004
2021-05-22,61,23342,5553
2021-05-22,62,14109,2926
2021-05-29,1,2169430,19413209
2021-05-29,10,11446,278592
2021-05-29,11,13437,66464
2021-05-29,12,43461,494407
2021-05-29,13,40908,391308
2021-05-29,24,558178,4518970
2021-05-29,35,689636,7609233
2021-05-29,46,105636,623026
2021-05-29,47,83216,559197
2021-05-29,48,379920,1977913
2021-05-29,59,180584,2883243
2021-05-29,60,24145,2893
2021-05-29,61,23920,5671
2021-05-29,62,14943,2292
2021-06-05,1,3050633,19961069
2021-06-05,10,17355,25000
2021-06-05,11,14426,75411
2021-06-05,12,44544,546361
2021-06-05,13,47144,437391
2021-06-05,24,713548,4815870
2021-06-05,35,1033695,7929387
2021-06-05,46,146346,639752
2021-06-05,47,137074,523980
2021-06-05,48,519870,1991366
2021-06-05,59,315661,2991745
2021-06-05,60,24559,2744
2021-06-05,61,21358,4309
2021-06-05,62,15053,2753
2021-06-12,1,4871473,19218955
2021-06-12,10,25870,25000
2021-06-12,11,17320,82042
2021-06-12,12,50863,593805
2021-06-12,13,76439,433770
2021-06-12,24,1060064,4749661
2021-06-12,35,1799775,7613665
2021-06-12,46,200869,624304
2021-06-12,47,210230,470691
2021-06-12,48,753168,1836304
2021-06-12,59,613871,2805751
2021-06-12,60,25060,2534
2021-06-12,61,22555,3559
2021-06-12,62,15389,2869
2021-06-19,1,7331351,17389146
2021-06-19,10,46728,25000
2021-06-19,11,20072,88898
2021-06-19,12,82726,604630
2021-06-19,13,129802,391495
2021-06-19,24,1563676,4378228
2021-06-19,35,2877663,6800058
2021-06-19,46,285105,564359
2021-06-19,47,287117,410965
2021-06-19,48,1075053,1563338
2021-06-19,59,898537,2577295
2021-06-19,60,25726,2482
2021-06-19,61,23305,3276
2021-06-19,62,15841,4122
2021-06-26,1,10321754,14834254
2021-06-26,10,79374,25000
2021-06-26,11,28361,86081
2021-06-26,12,168241,530068
2021-06-26,13,199869,331376
2021-06-26,24,2160492,3835573
2021-06-26,35,4169080,5695604
2021-06-26,46,435269,434761
2021-06-26,47,402742,307279
2021-06-26,48,1292072,1371422
2021-06-26,59,1319651,2230265
2021-06-26,60,26656,3770
2021-06-26,61,23789,3149
2021-06-26,62,16158,4906
2021-07-03,1,13647205,11888635
2021-07-03,10,108647,25000
2021-07-03,11,37045,80229
2021-07-03,12,276930,426125
2021-07-03,13,274443,263448
2021-07-03,24,2802885,3244569
2021-07-03,35,5556575,4450276
2021-07-03,46,583472,310956
2021-07-03,47,489899,229406
2021-07-03,48,1776325,941417
2021-07-03,59,1672835,1930844
2021-07-03,60,27396,3407
2021-07-03,61,24232,2974
2021-07-03,62,16521,4984
2021-07-10,1,16623230,9268829
2021-07-10,10,154100,25000
2021-07-10,11,48299,71450
2021-07-10,12,393450,317857
2021-07-10,13,347102,198819
2021-07-10,24,3460944,2634767
2021-07-10,35,6859065,3283639
2021-07-10,46,676457,237861
2021-07-10,47,557964,171076
2021-07-10,48,1984720,763206
2021-07-10,59,2070975,1579638
2021-07-10,60,28206,2985
2021-07-10,61,24657,2788
2021-07-10,62,17291,4743
2021-07-17,1,19105450,7121570
2021-07-17,10,194224,25000
2021-07-17,11,58708,63205
2021-07-17,12,485212,239735
2021-07-17,13,401293,151279
2021-07-17,24,4033393,2114208
2021-07-17,35,7847927,2421176
2021-07-17,46,734336,195231
