vaccinationdate,vaccinationprovinceid,fullyvaccinated,partiallyvaccinated
2022-03-13,47,900255,52829
2022-03-13,48,3354787,191107
2022-03-13,59,4288454,212529
2022-03-13,60,34837,1664
2022-03-13,61,33354,1659
2022-03-13,62,29097,3714
2022-03-20,1,31045826,1350343
2022-03-20,10,476756,21676
2022-03-20,11,143061,6762
2022-03-20,12,847630,49821
2022-03-20,13,658131,40130
2022-03-20,24,7129540,248175
2022-03-20,35,12026771,486234
2022-03-20,46,1102824,49880
2022-03-20,47,901242,52161
2022-03-20,48,3360832,186987
2022-03-20,59,4301419,201711
2022-03-20,60,34921,1592
2022-03-20,61,33393,1636
2022-03-20,62,29306,3578
2022-03-27,1,31093598,1312888
2022-03-27,10,477452,21096
2022-03-27,11,143341,6549
2022-03-27,12,849216,49489
2022-03-27,13,658733,39746
2022-03-27,24,7135610,240385
2022-03-27,35,12042918,475089
2022-03-27,46,1105079,48166
2022-03-27,47,902053,51661
2022-03-27,48,3366905,182729
2022-03-27,59,4314412,191339
2022-03-27,60,34995,1538
2022-03-27,61,33459,1586
2022-03-27,62,29425,3515
2022-04-03,1,31131040,1286733
2022-04-03,10,477925,20745
2022-04-03,11,143496,6445
2022-04-03,12,850656,48355
2022-04-03,13,659331,39321
2022-04-03,24,7142392,235165
2022-04-03,35,12055822,467270
2022-04-03,46,1106443,47160
2022-04-03,47,902806,51203
2022-04-03,48,3372142,179227
2022-04-03,59,4321846,185423
2022-04-03,60,35065,1472
2022-04-03,61,33503,1551
2022-04-03,62,29613,3396
2022-04-10,1,31159903,1268869
2022-04-10,10,478268,20485
2022-04-10,11,143567,6413
2022-04-10,12,851691,47590
2022-04-10,13,659688,39129
2022-04-10,24,7147853,231607
2022-04-10,35,12064894,461402
2022-04-10,46,1107993,46083
2022-04-10,47,903392,50891
2022-04-10,48,3375770,177213
2022-04-10,59,4328260,181910
2022-04-10,60,35102,1450
2022-04-10,61,33538,1519
2022-04-10,62,29887,3177
2022-04-24,1,31201003,1246111
2022-04-24,10,478765,20139
2022-04-24,11,143804,6272
2022-04-24,12,853043,46760
2022-04-24,13,660319,38852
2022-04-24,24,7154805,228281
2022-04-24,35,12083146,454040
2022-04-24,46,1103840,44139
2022-04-24,47,904433,50487
2022-04-24,48,3382557,174142
2022-04-24,59,4337495,177036
2022-04-24,60,35174,1391
2022-04-24,61,33576,1501
2022-04-24,62,30046,3071
2022-05-08,1,31228705,1229114
2022-05-08,10,479355,19809
2022-05-08,11,144020,6135
2022-05-08,12,854255,46043
2022-05-08,13,660818,38725
2022-05-08,24,7153136,225113
2022-05-08,35,12097386,449201
2022-05-08,46,1104825,43463
2022-05-08,47,905422,50116
2022-05-08,48,3388540,172293
2022-05-08,59,4341946,172378
2022-05-08,60,35252,1354
2022-05-08,61,33611,1481
2022-05-08,62,30139,3003
2022-05-22,1,31256601,1222878
2022-05-22,10,479708,19646
2022-05-22,11,144192,6056
2022-05-22,12,855308,45425
2022-05-22,13,661320,38518
2022-05-22,24,7153433,228164
2022-05-22,35,12110509,445091
2022-05-22,46,1105592,42971
2022-05-22,47,906297,49853
2022-05-22,48,3393170,171123
2022-05-22,59,4347866,170323
2022-05-22,60,35301,1328
2022-05-22,61,33650,1465
2022-05-22,62,30255,2915
2022-06-19,1,31311393,1199438
2022-06-19,10,480313,19393
2022-06-19,11,144449,5942
2022-06-19,12,856948,44514
2022-06-19,13,662301,38232
2022-06-19,24,7164047,223046
2022-06-19,35,12130628,436222
2022-06-19,46,1106889,42172
2022-06-19,47,907746,49392
2022-06-19,48,3400971,168568
2022-06-19,59,4357594,166439
2022-06-19,60,35385,1270
2022-06-19,61,33689,1453
2022-06-19,62,30433,2795
2022-07-17,1,31337769,1183642
2022-07-17,10,480724,19293
2022-07-17,11,144635,5913
2022-07-17,12,858015,44178
2022-07-17,13,663019,38109
2022-07-17,24,7160216,219817
2022-07-17,35,12144279,429429
2022-07-17,46,1107887,41676
2022-07-17,47,908824,49173
2022-07-17,48,3407087,166296
2022-07-17,59,4363364,164371
2022-07-17,60,35445,1226
2022-07-17,61,33689,1453
2022-07-17,62,30585,2708
2022-08-14,1,24206658,2678922
2022-08-14,10,481112,20072
2022-08-14,11,144887,6191
2022-08-14,12,859437,46071
2022-08-14,13,663628,38442
2022-08-14,24,859437,1667912
2022-08-14,35,12161242,450476
2022-08-14,46,1108763,42684
2022-08-14,47,909677,52267
2022-08-14,48,3413386,172091
2022-08-14,59,4365514,177725
2022-08-14,60,35428,1211
2022-08-14,61,33248,1390
2022-08-14,62,30336,2390
2022-09-11,1,24235319,2709592
2022-09-11,10,481372,20788
2022-09-11,11,145044,6489
2022-09-11,12,860389,46864
2022-09-11,13,664463,39243
2022-09-11,24,860389,1659473
2022-09-11,35,12176392,467882
2022-09-11,46,1109400,45099
2022-09-11,47,910878,54328
2022-09-11,48,3418439,177719
2022-09-11,59,4369842,186502
2022-09-11,60,35492,1329
2022-09-11,61,33262,1459
2022-09-11,62,30346,2417
2022-10-09,1,24263770,2699178
2022-10-09,10,481608,21030
2022-10-09,11,145400,6460
2022-10-09,12,861971,46643
2022-10-09,13,665035,39375
2022-10-09,24,861971,1647198
2022-10-09,35,12189717,469081
2022-10-09,46,1109962,46151
2022-10-09,47,912597,54388
2022-10-09,48,3423392,177773
2022-10-09,59,4374904,185873
2022-10-09,60,35550,1313
2022-10-09,61,33295,1468
2022-10-09,62,30339,2425
2022-11-06,1,24303782,2676205
2022-11-06,10,482298,21098
2022-11-06,11,145785,6360
2022-11-06,12,863894,45971
2022-11-06,13,665605,39203
2022-11-06,24,863894,1634984
2022-11-06,35,12204172,466200
2022-11-06,46,1111326,46255
2022-11-06,47,914908,54520
2022-11-06,48,3429733,175648
2022-11-06,59,4386791,180744
2022-11-06,60,35650,1349
2022-11-06,61,33264,1452
2022-11-06,62,30356,2421
2022-12-04,1,24345527,2670476
2022-12-04,10,482946,21135
2022-12-04,11,146038,6656
2022-12-04,12,865726,45589
2022-12-04,13,665948,39108
2022-12-04,24,865726,1624743
2022-12-04,35,12219140,465448
2022-12-04,46,1112281,46869
2022-12-04,47,917005,54934
2022-12-04,48,3435139,174801
2022-12-04,59,4401444,185989
2022-12-04,60,35728,1347
2022-12-04,61,33734,1462
2022-12-04,62,30398,2395
2023-01-01,1,24367850,2660851
2023-01-01,10,483364,21170
2023-01-01,11,146202,6748
2023-01-01,12,868358,35507
2023-01-01,13,666144,39119
2023-01-01,24,868358,1618432
2023-01-01,35,12225053,465787
2023-01-01,46,1112520,47207
2023-01-01,47,918489,55119
2023-01-01,48,3438801,174531
2023-01-01,59,4408919,192050
2023-01-01,60,35785,1345
2023-01-01,61,33800,1454
2023-01-01,62,30415,2382
2023-01-29,1,24385395,2664908
2023-01-29,10,483847,21102
2023-01-29,11,146432,6829
2023-01-29,12,866979,37943
2023-01-29,13,666435,39129
2023-01-29,24,866979,1619197
2023-01-29,35,12230098,466418
2023-01-29,46,1112750,47433
2023-01-29,47,919931,55182
2023-01-29,48,3442303,174226
2023-01-29,59,4417013,192269
2023-01-29,60,35828,1341
2023-01-29,61,33389,1474
2023-01-29,62,30390,2365
