fweatherid,fweatherdate,temperature,fcaseprovinceid,fcasedate,fvaccinationdate,fvaccinationprovinceid,proportionfullyvaccinated,ratechangecases
8200255,2020-12-01,4.4,12,2020-12-12,2020-12-19,12,0,139.035
8200774,2020-12-01,2.4,12,2020-12-12,2020-12-26,12,0,139.035
8200604,2020-12-01,4,12,2020-12-12,2020-12-26,12,0,139.035
8200574,2020-12-01,2.2,12,2020-12-12,2020-12-26,12,0,139.035
8200558,2020-12-01,3.5,12,2020-12-12,2020-12-26,12,0,139.035
8200255,2020-12-01,4.4,12,2020-12-12,2020-12-26,12,0,139.035
8200774,2020-12-01,2.4,12,2020-12-05,2020-12-19,12,0,139.035
8200604,2020-12-01,4,12,2020-12-05,2020-12-19,12,0,139.035
8200574,2020-12-01,2.2,12,2020-12-05,2020-12-19,12,0,139.035
8200558,2020-12-01,3.5,12,2020-12-05,2020-12-19,12,0,139.035
8200255,2020-12-01,4.4,12,2020-12-05,2020-12-19,12,0,139.035
8200774,2020-12-01,2.4,12,2020-12-05,2020-12-26,12,0,139.035
8200604,2020-12-01,4,12,2020-12-05,2020-12-26,12,0,139.035
8200574,2020-12-01,2.2,12,2020-12-05,2020-12-26,12,0,139.035
8200558,2020-12-01,3.5,12,2020-12-05,2020-12-26,12,0,139.035
8200255,2020-12-01,4.4,12,2020-12-05,2020-12-26,12,0,139.035
8200774,2020-12-01,2.4,12,2020-12-26,2020-12-26,12,0,139.035
8200604,2020-12-01,4,12,2020-12-26,2020-12-26,12,0,139.035
8200574,2020-12-01,2.2,12,2020-12-26,2020-12-26,12,0,139.035
8200558,2020-12-01,3.5,12,2020-12-26,2020-12-26,12,0,139.035
8200255,2020-12-01,4.4,12,2020-12-26,2020-12-26,12,0,139.035
8200774,2020-12-01,2.4,12,2020-12-19,2020-12-19,12,0,139.035
8200604,2020-12-01,4,12,2020-12-19,2020-12-19,12,0,139.035
8200574,2020-12-01,2.2,12,2020-12-19,2020-12-19,12,0,139.035
8200558,2020-12-01,3.5,12,2020-12-19,2020-12-19,12,0,139.035
8200255,2020-12-01,4.4,12,2020-12-19,2020-12-19,12,0,139.035
8200774,2020-12-01,2.4,12,2020-12-19,2020-12-26,12,0,139.035
8200604,2020-12-01,4,12,2020-12-19,2020-12-26,12,0,139.035
8200574,2020-12-01,2.2,12,2020-12-19,2020-12-26,12,0,139.035
8200558,2020-12-01,3.5,12,2020-12-19,2020-12-26,12,0,139.035
8200255,2020-12-01,4.4,12,2020-12-19,2020-12-26,12,0,139.035
8100506,2020-12-01,-3.4,13,2020-12-12,2020-12-26,13,0,69.235
8100989,2020-12-01,-2,13,2020-12-12,2020-12-26,13,0,69.235
8100885,2020-12-01,-3.7,13,2020-12-12,2020-12-26,13,0,69.235
8100467,2020-12-01,-1.4,13,2020-12-12,2020-12-26,13,0,69.235
8100300,2020-12-01,-3,13,2020-12-12,2020-12-26,13,0,69.235
8100506,2020-12-01,-3.4,13,2020-12-19,2020-12-26,13,0,69.235
8100989,2020-12-01,-2,13,2020-12-19,2020-12-26,13,0,69.235
8100885,2020-12-01,-3.7,13,2020-12-19,2020-12-26,13,0,69.235
8100467,2020-12-01,-1.4,13,2020-12-19,2020-12-26,13,0,69.235
8100300,2020-12-01,-3,13,2020-12-19,2020-12-26,13,0,69.235
8100506,2020-12-01,-3.4,13,2020-12-26,2020-12-26,13,0,69.235
8100989,2020-12-01,-2,13,2020-12-26,2020-12-26,13,0,69.235
8100885,2020-12-01,-3.7,13,2020-12-26,2020-12-26,13,0,69.235
8100467,2020-12-01,-1.4,13,2020-12-26,2020-12-26,13,0,69.235
8100300,2020-12-01,-3,13,2020-12-26,2020-12-26,13,0,69.235
8100506,2020-12-01,-3.4,13,2020-12-05,2020-12-26,13,0,69.235
8100989,2020-12-01,-2,13,2020-12-05,2020-12-26,13,0,69.235
8100885,2020-12-01,-3.7,13,2020-12-05,2020-12-26,13,0,69.235
8100467,2020-12-01,-1.4,13,2020-12-05,2020-12-26,13,0,69.235
8100300,2020-12-01,-3,13,2020-12-05,2020-12-26,13,0,69.235
7016293,2020-12-01,-4.7,24,2020-12-12,2020-12-26,24,0,1894.5875
